,APE,year,month
631,-6854948.803986053,2002.0,8.0
632,-6914678.114310829,2002.0,9.0
633,-6929088.679055629,2002.0,10.0
634,-6953643.364941497,2002.0,11.0
635,-6806466.4357501995,2002.0,12.0
636,-6756101.400895567,2003.0,1.0
637,-6764614.416115438,2003.0,2.0
638,-6698645.874534302,2003.0,3.0
639,-6762042.458914921,2003.0,4.0
640,-6693760.649966045,2003.0,5.0
641,-6712850.215225032,2003.0,6.0
642,-6763221.31645994,2003.0,7.0
643,-6775828.805985538,2003.0,8.0
644,-6739895.836096343,2003.0,9.0
645,-6761797.564569648,2003.0,10.0
646,-6750185.567864016,2003.0,11.0
647,-6603551.197418988,2003.0,12.0
648,-6564649.885982708,2004.0,1.0
649,-6842603.583884538,2004.0,2.0
650,-6763035.778562096,2004.0,3.0
651,-6837045.971771498,2004.0,4.0
652,-6817413.281833608,2004.0,5.0
653,-6898460.83126656,2004.0,6.0
654,-6954337.080241317,2004.0,7.0
655,-7059190.246527465,2004.0,8.0
656,-7036991.367136578,2004.0,9.0
657,-7076461.121260597,2004.0,10.0
658,-6971840.254742688,2004.0,11.0
659,-6774180.949834221,2004.0,12.0
660,-6707950.413940486,2005.0,1.0
661,-6801550.391799349,2005.0,2.0
662,-6856398.747957889,2005.0,3.0
663,-6749030.755752049,2005.0,4.0
664,-6711946.241974945,2005.0,5.0
665,-6738202.386912175,2005.0,6.0
666,-6754928.768450202,2005.0,7.0
667,-6717178.455137447,2005.0,8.0
668,-6624769.211231557,2005.0,9.0
669,-6624416.463757066,2005.0,10.0
670,-6623540.8596227355,2005.0,11.0
671,-6604398.139246018,2005.0,12.0
672,-6602927.332573366,2006.0,1.0
673,-6598087.987403512,2006.0,2.0
674,-6430976.693412521,2006.0,3.0
675,-6196808.36049807,2006.0,4.0
676,-6215845.941135435,2006.0,5.0
677,-6232602.340579666,2006.0,6.0
678,-6253287.737172084,2006.0,7.0
679,-6305856.584656487,2006.0,8.0
680,-6382713.927132514,2006.0,9.0
681,-6442216.823541815,2006.0,10.0
682,-6418327.601350038,2006.0,11.0
683,-6442419.091148614,2006.0,12.0
684,-6448998.661453516,2007.0,1.0
685,-6509846.437969197,2007.0,2.0
686,-6556916.197011889,2007.0,3.0
687,-6636044.290181751,2007.0,4.0
688,-6666594.520954716,2007.0,5.0
689,-6698561.625767234,2007.0,6.0
690,-6808226.24762034,2007.0,7.0
691,-6816197.3475642335,2007.0,8.0
692,-6856048.002631445,2007.0,9.0
693,-7011236.211207684,2007.0,10.0
