,APE,year,month
523,-1.721703881506007e+24,1993.0,8.0
524,-1.7359346488764628e+24,1993.0,9.0
525,-1.7399444813176045e+24,1993.0,10.0
526,-1.7355103340129742e+24,1993.0,11.0
527,-1.7275714248378118e+24,1993.0,12.0
528,-1.7235688714056738e+24,1994.0,1.0
529,-1.6822701212584877e+24,1994.0,2.0
530,-1.6933310636595308e+24,1994.0,3.0
531,-1.7168791257232774e+24,1994.0,4.0
532,-1.7189295829639232e+24,1994.0,5.0
533,-1.714306998702252e+24,1994.0,6.0
534,-1.7236500032883187e+24,1994.0,7.0
535,-1.7173117348027425e+24,1994.0,8.0
536,-1.7459099183534227e+24,1994.0,9.0
537,-1.7686970119628674e+24,1994.0,10.0
538,-1.76772667640514e+24,1994.0,11.0
539,-1.7329187979007682e+24,1994.0,12.0
540,-1.7253280301954016e+24,1995.0,1.0
541,-1.7278858463190385e+24,1995.0,2.0
542,-1.76221142681413e+24,1995.0,3.0
543,-1.7438423187922115e+24,1995.0,4.0
544,-1.7525381559494443e+24,1995.0,5.0
545,-1.7566498934300273e+24,1995.0,6.0
546,-1.752177323116906e+24,1995.0,7.0
547,-1.7627929766885295e+24,1995.0,8.0
548,-1.7669692415777693e+24,1995.0,9.0
549,-1.790443907643826e+24,1995.0,10.0
550,-1.7827294333333765e+24,1995.0,11.0
551,-1.7548913906684767e+24,1995.0,12.0
552,-1.7845916916898442e+24,1996.0,1.0
553,-1.7732957469762159e+24,1996.0,2.0
554,-1.7669486874369946e+24,1996.0,3.0
555,-1.736966744375799e+24,1996.0,4.0
556,-1.7354995431481397e+24,1996.0,5.0
557,-1.7283527135338212e+24,1996.0,6.0
558,-1.7214851041401292e+24,1996.0,7.0
559,-1.732120601457469e+24,1996.0,8.0
560,-1.7448583920873203e+24,1996.0,9.0
561,-1.7772853666382203e+24,1996.0,10.0
562,-1.7897123553076998e+24,1996.0,11.0
563,-1.763298364638878e+24,1996.0,12.0
564,-1.7515316173346832e+24,1997.0,1.0
565,-1.7717997071012362e+24,1997.0,2.0
566,-1.760006551754483e+24,1997.0,3.0
567,-1.7550828768804016e+24,1997.0,4.0
568,-1.7519546695158755e+24,1997.0,5.0
569,-1.7514502522789212e+24,1997.0,6.0
570,-1.76903296118683e+24,1997.0,7.0
571,-1.7641497013411379e+24,1997.0,8.0
572,-1.787380504995279e+24,1997.0,9.0
573,-1.781551705698431e+24,1997.0,10.0
574,-1.8012687714507823e+24,1997.0,11.0
575,-1.7627302851498018e+24,1997.0,12.0
576,-1.795288795608762e+24,1998.0,1.0
577,-1.7724715508170433e+24,1998.0,2.0
578,-1.7755618504639624e+24,1998.0,3.0
579,-1.7589217740019305e+24,1998.0,4.0
580,-1.7409091112060633e+24,1998.0,5.0
581,-1.7208969022447712e+24,1998.0,6.0
582,-1.722780089872151e+24,1998.0,7.0
583,-1.750853203825525e+24,1998.0,8.0
584,-1.7525667569842348e+24,1998.0,9.0
585,-1.754676130985746e+24,1998.0,10.0
586,-1.739163353492063e+24,1998.0,11.0
587,-1.7142499707378686e+24,1998.0,12.0
588,-1.726456024706152e+24,1999.0,1.0
589,-1.7392652193336813e+24,1999.0,2.0
590,-1.7258339562712122e+24,1999.0,3.0
591,-1.7157092665430083e+24,1999.0,4.0
592,-1.7111599102852717e+24,1999.0,5.0
593,-1.6983924020773996e+24,1999.0,6.0
594,-1.710542405209038e+24,1999.0,7.0
595,-1.7190927867213654e+24,1999.0,8.0
596,-1.729032360970198e+24,1999.0,9.0
597,-1.744054139561706e+24,1999.0,10.0
598,-1.7573094880483132e+24,1999.0,11.0
599,-1.746388270432417e+24,1999.0,12.0
600,-1.724282637940545e+24,2000.0,1.0
601,-1.70056748748069e+24,2000.0,2.0
602,-1.7313976454714518e+24,2000.0,3.0
603,-1.7433680230876007e+24,2000.0,4.0
604,-1.7412817208377637e+24,2000.0,5.0
605,-1.7156065848724996e+24,2000.0,6.0
606,-1.7235346177616712e+24,2000.0,7.0
607,-1.7251811454479273e+24,2000.0,8.0
608,-1.731616677100546e+24,2000.0,9.0
609,-1.748431984758977e+24,2000.0,10.0
610,-1.7446385583916888e+24,2000.0,11.0
611,-1.7207289956246299e+24,2000.0,12.0
612,-1.6959855569148229e+24,2001.0,1.0
613,-1.7054278355346088e+24,2001.0,2.0
614,-1.7237454832440207e+24,2001.0,3.0
615,-1.7370195883274274e+24,2001.0,4.0
616,-1.7293296651020326e+24,2001.0,5.0
617,-1.7396912173501549e+24,2001.0,6.0
618,-1.7168209331435403e+24,2001.0,7.0
619,-1.7305086991563662e+24,2001.0,8.0
620,-1.7327107664355557e+24,2001.0,9.0
621,-1.7453299524451443e+24,2001.0,10.0
622,-1.7345444123533192e+24,2001.0,11.0
623,-1.7060170958700883e+24,2001.0,12.0
624,-1.6979663688632846e+24,2002.0,1.0
625,-1.7267591789056941e+24,2002.0,2.0
